,STOCKS,CLOSE,RSI,MA50,BOLLINGER_HIGH,BOLLINGER_LOW,RSI_BUY_LEVEL,RSI_SELL_LEVEL,RSI_BUY_LIKELIHOOD,BOLLINGER_BUY_LIKELIHOOD
131,GRASIM.NS,2615.199951171875,39.2028638156645,2712.5260107421873,2823.410852753993,2626.17413259757,40.516615384615385,69.1264680851064,0.03242500777717309,0.004178771426264983
132,GRAVITA.NS,1991.5999755859375,32.33097286851438,2342.0769873046875,2694.4911371334206,2048.218836011111,42.853298245614035,70.768,0.24554295253520184,0.02764297419285437
133,GRMOVER.NS,208.5500030517578,35.68355074450706,251.45819946289063,261.93141868871044,206.0535803957622,31.156846153846153,59.34278260869564,-0.1452876381745752,-0.012115405377576048
134,GRSE.NS,1505.300048828125,36.048854607823614,1750.847001953125,1845.5741051485245,1515.9858924100693,39.272196721311474,65.89419512195123,0.0820769496639509,0.007048775081248427
135,GRWRHITECH.NS,3548.75,45.596432164750176,3498.278017578125,4164.108121887502,3468.1268878781225,39.04388888888889,69.93224489795918,-0.16782506718294685,-0.023246874964025475
136,GSPL.NS,387.20001220703125,39.73620370013823,403.91200134277346,433.8877794980342,379.9422223330205,39.1050297029703,64.08854237288135,-0.0161404812107838,-0.019102351482403274
137,GUJGASLTD.NS,526.2999877929688,22.756387679539245,607.182001953125,641.9490110756453,523.2509950278702,36.42038709677419,66.93894545454546,0.37517446975310126,-0.005827017615009306
138,HAL.NS,4165.60009765625,35.825880811169085,4535.26501953125,4674.857524456881,4114.07245601187,42.192949152542376,72.29639024390244,0.150903609945683,-0.012524728768226547
139,HAPPSTMNDS.NS,768.7000122070312,33.64416604691,798.4880017089844,818.8036676728887,771.7613347685176,35.225780487804876,64.9387619047619,0.04489934414490624,0.0039666700358920726
140,HAVELLS.NS,1694.949951171875,24.303195123134245,1922.8560009765624,2085.6852078707648,1698.4097994534543,38.09021428571429,68.01050000000001,0.36195698609526744,0.0020371104092149444
141,HCLTECH.NS,1852.3499755859375,60.54558544997714,1781.1579956054688,1888.5770911220384,1764.0878991123368,37.91111475409836,67.86574999999999,-0.5970404943956943,-0.050032697643928564
142,HDFCBANK.NS,1743.4000244140625,59.428840831651314,1677.5050048828125,1772.296492364657,1614.2085369322178,37.141387096774196,64.61245833333332,-0.6000705810153447,-0.08003395133033517
143,HFCL.NS,113.27999877929688,30.156570798021576,143.93039962768555,155.26369768309021,112.67930234742735,38.25237647058824,66.38314285714287,0.21164190096245192,-0.005331027254831396
144,HGINFRA.NS,1304.449951171875,24.50879353052541,1511.1879956054688,1597.112363845928,1312.7326434782908,40.59479452054794,68.20098360655739,0.3962577266373464,0.006309504336290076
145,HINDCOPPER.NS,271.75,25.702556300938355,320.29399963378904,355.2315853018854,279.5534153084661,38.492,68.66616216216217,0.3322623843671839,0.027913861470286985
146,HINDUNILVR.NS,2528.050048828125,22.434313127558923,2822.3530126953124,3009.905568726053,2532.564450805197,36.25686956521739,64.59532307692308,0.38123965481341443,0.0017825417930179771
147,HINDZINC.NS,510.04998779296875,48.419674750347376,506.1190008544922,533.3342971130742,494.5157059386836,37.430440677966104,63.51270967741935,-0.2935908280355946,-0.03141312129773143
148,HONAUT.NS,49366.44921875,44.67226780181459,50248.654140625,51897.02812838813,47466.94726223687,35.85169230769231,66.68028571428573,-0.2460295435546217,-0.04001736083888231
